Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
1,Exit long,2023-01-12 15:00,Mid Exit,1399.42,0.0719,99.887075,0.63,0.63,2.14,2.14,-0.31,-0.31,0.63,0.00
1,Entry long,2023-01-12 08:00,Long Entry,1389.25,0.0719,99.887075,0.63,0.63,2.14,2.14,-0.31,-0.31,0.63,0.00
2,Exit long,2023-01-14 18:00,Mid Exit,1524.49,0.0648,99.964368,-1.28,-1.28,1.54,1.54,-2.38,-2.38,-0.65,0.00
2,Entry long,2023-01-14 09:00,Long Entry,1542.66,0.0648,99.964368,-1.28,-1.28,1.54,1.54,-2.38,-2.38,-0.65,0.00
3,Exit short,2023-01-19 11:00,Mid Exit,1525.1,0.0648,99.932616,1.01,1.01,2.21,2.21,-0.23,-0.23,0.36,0.00
3,Entry short,2023-01-19 04:00,Short Entry,1542.17,0.0648,99.932616,1.01,1.01,2.21,2.21,-0.23,-0.23,0.36,0.00
4,Exit long,2023-01-21 13:00,Mid Exit,1651.17,0.0609,99.982575,0.47,0.47,2.28,2.28,-0.42,-0.42,0.83,0.00
4,Entry long,2023-01-21 05:00,Long Entry,1641.75,0.0609,99.982575,0.47,0.47,2.28,2.28,-0.42,-0.42,0.83,0.00
5,Exit short,2023-01-25 15:00,Mid Exit,1554.4,0.064,99.9328,0.35,0.35,3.1,3.10,-0.28,-0.28,1.19,0.00
5,Entry short,2023-01-25 07:00,Short Entry,1561.45,0.064,99.9328,0.35,0.35,3.1,3.10,-0.28,-0.28,1.19,0.00
6,Exit long,2023-01-26 12:00,Mid Exit,1614.87,0.0618,99.993018,-0.29,-0.29,1.38,1.38,-2.84,-2.84,0.89,0.00
6,Entry long,2023-01-26 06:00,Long Entry,1618.01,0.0618,99.993018,-0.29,-0.29,1.38,1.38,-2.84,-2.84,0.89,0.00
7,Exit short,2023-01-31 03:00,Mid Exit,1578.49,0.0629,99.892119,0.51,0.51,1.37,1.37,-0.64,-0.64,1.4,0.00
7,Entry short,2023-01-30 18:00,Short Entry,1588.11,0.0629,99.892119,0.51,0.51,1.37,1.37,-0.64,-0.64,1.4,0.00
8,Exit long,2023-02-02 15:00,Mid Exit,1667.35,0.0609,99.986229,1.45,1.45,3.43,3.43,-0.2,-0.20,2.85,0.00
8,Entry long,2023-02-02 08:00,Long Entry,1641.81,0.0609,99.986229,1.45,1.45,3.43,3.43,-0.2,-0.20,2.85,0.00
9,Exit short,2023-02-03 12:00,Mid Exit,1642.35,0.0607,99.980184,0.19,0.19,0.93,0.93,-0.29,-0.29,3.04,0.00
9,Entry short,2023-02-03 09:00,Short Entry,1647.12,0.0607,99.980184,0.19,0.19,0.93,0.93,-0.29,-0.29,3.04,0.00
10,Exit short,2023-02-10 12:00,Mid Exit,1542.78,0.0633,99.955764,2.2,2.20,3.56,3.56,-0.23,-0.23,5.24,0.01
10,Entry short,2023-02-10 04:00,Short Entry,1579.08,0.0633,99.955764,2.2,2.20,3.56,3.56,-0.23,-0.23,5.24,0.01
11,Exit long,2023-02-16 15:00,Mid Exit,1685.26,0.06,99.9414,1.07,1.07,2.91,2.91,-0.31,-0.31,6.31,0.01
11,Entry long,2023-02-16 05:00,Long Entry,1665.69,0.06,99.9414,1.07,1.07,2.91,2.91,-0.31,-0.31,6.31,0.01
12,Exit short,2023-02-17 13:00,Mid Exit,1659.14,0.0607,99.96683,-0.84,-0.84,0.9,0.90,-1.48,-1.48,5.47,0.01
12,Entry short,2023-02-17 07:00,Short Entry,1646.9,0.0607,99.96683,-0.84,-0.84,0.9,0.90,-1.48,-1.48,5.47,0.01
13,Exit short,2023-02-25 07:00,Mid Exit,1604.52,0.0627,99.844734,-0.86,-0.86,0.58,0.58,-1.96,-1.96,4.61,0.00
13,Entry short,2023-02-25 01:00,Short Entry,1592.42,0.0627,99.844734,-0.86,-0.86,0.58,0.58,-1.96,-1.96,4.61,0.00
14,Exit short,2023-03-03 16:00,Mid Exit,1567.01,0.0644,99.933988,-1.08,-1.08,0.21,0.21,-1.61,-1.61,3.53,0.00
14,Entry short,2023-03-03 10:00,Short Entry,1551.77,0.0644,99.933988,-1.08,-1.08,0.21,0.21,-1.61,-1.61,3.53,0.00
15,Exit short,2023-03-10 11:00,Mid Exit,1425.29,0.0672,99.982176,4.1,4.10,5.66,5.66,-0.13,-0.13,7.64,0.01
15,Entry short,2023-03-10 04:00,Short Entry,1487.83,0.0672,99.982176,4.1,4.10,5.66,5.66,-0.13,-0.13,7.64,0.01
16,Exit short,2023-03-11 22:00,Mid Exit,1428.73,0.0706,99.949832,-1.02,-1.02,0.53,0.53,-2.54,-2.54,6.62,0.01
16,Entry short,2023-03-11 16:00,Short Entry,1415.72,0.0706,99.949832,-1.02,-1.02,0.53,0.53,-2.54,-2.54,6.62,0.01
17,Exit long,2023-03-13 15:00,Mid Exit,1601.56,0.0652,99.85706,4.46,4.47,5.97,5.97,-1.48,-1.48,11.08,0.01
17,Entry long,2023-03-13 03:00,Long Entry,1531.55,0.0652,99.85706,4.46,4.47,5.97,5.97,-1.48,-1.48,11.08,0.01
18,Exit long,2023-03-14 09:00,Mid Exit,1667.21,0.06,99.9786,-0.05,-0.05,1.19,1.19,-1.17,-1.17,11.03,0.01
18,Entry long,2023-03-14 00:00,Long Entry,1666.31,0.06,99.9786,-0.05,-0.05,1.19,1.19,-1.17,-1.17,11.03,0.01
19,Exit long,2023-03-15 03:00,Mid Exit,1729.09,0.0576,99.84672,-0.35,-0.35,2.58,2.58,-0.66,-0.66,10.68,0.01
19,Entry long,2023-03-14 22:00,Long Entry,1733.45,0.0576,99.84672,-0.35,-0.35,2.58,2.58,-0.66,-0.66,10.68,0.01
20,Exit short,2023-03-15 11:00,Mid Exit,1708.6,0.0587,99.876876,-0.52,-0.52,2.38,2.38,-1.04,-1.04,10.16,0.01
20,Entry short,2023-03-15 05:00,Short Entry,1701.48,0.0587,99.876876,-0.52,-0.52,2.38,2.38,-1.04,-1.04,10.16,0.01
21,Exit short,2023-03-16 06:00,Mid Exit,1653.76,0.0611,99.863673,-1.28,-1.28,1.34,1.34,-1.35,-1.35,8.88,0.01
21,Entry short,2023-03-16 00:00,Short Entry,1634.43,0.0611,99.863673,-1.28,-1.28,1.34,1.34,-1.35,-1.35,8.88,0.01
22,Exit long,2023-03-18 15:00,Mid Exit,1812.18,0.0549,99.931176,-0.54,-0.54,0.68,0.68,-1.17,-1.17,8.34,0.01
22,Entry long,2023-03-18 09:00,Long Entry,1820.24,0.0549,99.931176,-0.54,-0.54,0.68,0.68,-1.17,-1.17,8.34,0.01
23,Exit long,2023-03-22 03:00,Mid Exit,1787.48,0.0549,99.874629,-1.84,-1.84,0.87,0.87,-2.62,-2.63,6.5,0.01
23,Entry long,2023-03-21 22:00,Long Entry,1819.21,0.0549,99.874629,-1.84,-1.84,0.87,0.87,-2.62,-2.63,6.5,0.01
24,Exit short,2023-03-23 10:00,Mid Exit,1729.46,0.0582,99.877602,-0.88,-0.88,0.31,0.31,-1.7,-1.70,5.62,0.01
24,Entry short,2023-03-23 04:00,Short Entry,1716.11,0.0582,99.877602,-0.88,-0.88,0.31,0.31,-1.7,-1.70,5.62,0.01
25,Exit long,2023-03-24 06:00,Mid Exit,1813.95,0.0544,99.956736,-1.38,-1.38,0.17,0.17,-2.54,-2.54,4.24,0.00
25,Entry long,2023-03-24 00:00,Long Entry,1837.44,0.0544,99.956736,-1.38,-1.38,0.17,0.17,-2.54,-2.54,4.24,0.00
26,Exit short,2023-03-25 08:00,Mid Exit,1748.77,0.0573,99.952401,-0.35,-0.35,1.06,1.06,-2.43,-2.43,3.89,0.00
26,Entry short,2023-03-24 20:00,Short Entry,1744.37,0.0573,99.952401,-0.35,-0.35,1.06,1.06,-2.43,-2.43,3.89,0.00
27,Exit short,2023-03-28 06:00,Mid Exit,1712.26,0.0585,99.85833,-0.41,-0.41,0.65,0.65,-0.74,-0.74,3.48,0.00
27,Entry short,2023-03-28 02:00,Short Entry,1706.98,0.0585,99.85833,-0.41,-0.41,0.65,0.65,-0.74,-0.74,3.48,0.00
28,Exit long,2023-04-14 16:00,Mid Exit,2106.43,0.0499,99.976147,5.03,5.03,6.64,6.64,-0.75,-0.75,8.52,0.01
28,Entry long,2023-04-13 21:00,Long Entry,2003.53,0.0499,99.976147,5.03,5.03,6.64,6.64,-0.75,-0.75,8.52,0.01
29,Exit short,2023-04-19 23:00,Mid Exit,1993.9,0.0503,99.926986,-0.47,-0.47,1.29,1.29,-1.02,-1.03,8.05,0.01
29,Entry short,2023-04-19 17:00,Short Entry,1986.62,0.0503,99.926986,-0.47,-0.47,1.29,1.29,-1.02,-1.03,8.05,0.01
30,Exit short,2023-04-22 10:00,Mid Exit,1855.36,0.0542,99.828812,-0.83,-0.83,1.03,1.03,-0.89,-0.89,7.22,0.01
30,Entry short,2023-04-22 04:00,Short Entry,1841.86,0.0542,99.828812,-0.83,-0.83,1.03,1.03,-0.89,-0.89,7.22,0.01
31,Exit long,2023-04-27 03:00,Mid Exit,1945.77,0.051,99.95898,-0.82,-0.82,0.11,0.11,-1.42,-1.42,6.39,0.01
31,Entry long,2023-04-26 21:00,Long Entry,1959.98,0.051,99.95898,-0.82,-0.82,0.11,0.11,-1.42,-1.42,6.39,0.01
32,Exit short,2023-04-27 09:00,SL,1918.81,0.0547,99.958233,-5.1,-5.10,2.43,2.43,-6.18,-6.18,1.29,0.00
32,Entry short,2023-04-27 04:00,Short Entry,1827.39,0.0547,99.958233,-5.1,-5.10,2.43,2.43,-6.18,-6.18,1.29,0.00
33,Exit short,2023-05-01 16:00,Mid Exit,1848.52,0.0544,99.818016,-0.84,-0.84,0.18,0.18,-1.08,-1.08,0.45,0.00
33,Entry short,2023-05-01 10:00,Short Entry,1834.89,0.0544,99.818016,-0.84,-0.84,0.18,0.18,-1.08,-1.08,0.45,0.00
34,Exit long,2023-05-06 07:00,Mid Exit,1987.79,0.0502,99.976312,-0.29,-0.29,0.22,0.22,-1.17,-1.17,0.16,0.00
34,Entry long,2023-05-06 01:00,Long Entry,1991.56,0.0502,99.976312,-0.29,-0.29,0.22,0.22,-1.17,-1.17,0.16,0.00
35,Exit short,2023-05-07 05:00,Mid Exit,1893.97,0.0533,99.924708,-1.12,-1.12,0.78,0.78,-1.68,-1.68,-0.96,0.00
35,Entry short,2023-05-06 23:00,Short Entry,1874.76,0.0533,99.924708,-1.12,-1.12,0.78,0.78,-1.68,-1.68,-0.96,0.00
36,Exit short,2023-05-08 22:00,Mid Exit,1857.96,0.0539,99.842204,-0.4,-0.40,0.99,0.99,-1.19,-1.19,-1.37,0.00
36,Entry short,2023-05-08 10:00,Short Entry,1852.36,0.0539,99.842204,-0.4,-0.40,0.99,0.99,-1.19,-1.19,-1.37,0.00
37,Exit short,2023-06-06 09:00,Mid Exit,1810.09,0.0553,99.888943,-0.31,-0.31,0.79,0.79,-0.55,-0.55,-1.68,0.00
37,Entry short,2023-06-06 03:00,Short Entry,1806.31,0.0553,99.888943,-0.31,-0.31,0.79,0.79,-0.55,-0.55,-1.68,0.00
38,Exit long,2023-06-07 10:00,Mid Exit,1878.43,0.0528,99.851664,-0.77,-0.77,0.27,0.27,-1.01,-1.01,-2.45,0.00
38,Entry long,2023-06-07 04:00,Long Entry,1891.13,0.0528,99.851664,-0.77,-0.77,0.27,0.27,-1.01,-1.01,-2.45,0.00
39,Exit short,2023-06-10 22:00,Mid Exit,1742.6,0.0571,99.944414,0.34,0.34,2.13,2.13,-0.65,-0.65,-2.1,0.00
39,Entry short,2023-06-10 14:00,Short Entry,1750.34,0.0571,99.944414,0.34,0.34,2.13,2.13,-0.65,-0.65,-2.1,0.00
40,Exit short,2023-06-15 11:00,Mid Exit,1649.13,0.061,99.86981,-0.83,-0.83,0.43,0.43,-1.16,-1.16,-2.93,0.00
40,Entry short,2023-06-15 05:00,Short Entry,1637.21,0.061,99.86981,-0.83,-0.83,0.43,0.43,-1.16,-1.16,-2.93,0.00
41,Exit long,2023-07-01 11:00,Mid Exit,1920.59,0.0519,99.993654,-0.41,-0.41,0.89,0.89,-0.56,-0.56,-3.35,0.00
41,Entry long,2023-07-01 05:00,Long Entry,1926.66,0.0519,99.993654,-0.41,-0.41,0.89,0.89,-0.56,-0.56,-3.35,0.00
42,Exit short,2023-07-07 05:00,Mid Exit,1882.78,0.0532,99.995252,-0.27,-0.27,0.34,0.34,-0.81,-0.81,-3.61,0.00
42,Entry short,2023-07-06 23:00,Short Entry,1879.61,0.0532,99.995252,-0.27,-0.27,0.34,0.34,-0.81,-0.81,-3.61,0.00
43,Exit long,2023-07-14 15:00,Mid Exit,2004.2,0.0509,99.895322,2.02,2.02,3.45,3.45,-0.43,-0.43,-1.6,0.00
43,Entry long,2023-07-14 01:00,Long Entry,1962.58,0.0509,99.895322,2.02,2.02,3.45,3.45,-0.43,-0.43,-1.6,0.00
44,Exit short,2023-07-15 09:00,Mid Exit,1931.99,0.0522,99.963,-0.99,-0.99,0.9,0.90,-1.21,-1.21,-2.58,0.00
44,Entry short,2023-07-15 03:00,Short Entry,1915,0.0522,99.963,-0.99,-0.99,0.9,0.90,-1.21,-1.21,-2.58,0.00
45,Exit short,2023-08-18 12:00,Mid Exit,1676.39,0.0575,99.9534,3.46,3.46,14.08,14.07,-0.63,-0.63,0.88,0.00
45,Entry short,2023-08-18 00:00,Short Entry,1738.32,0.0575,99.9534,3.46,3.46,14.08,14.07,-0.63,-0.63,0.88,0.00
46,Exit long,2023-08-30 07:00,Mid Exit,1729.15,0.0581,99.997072,0.37,0.37,1.46,1.46,-0.81,-0.81,1.24,0.00
46,Entry long,2023-08-29 23:00,Long Entry,1721.12,0.0581,99.997072,0.37,0.37,1.46,1.46,-0.81,-0.81,1.24,0.00
47,Exit short,2023-09-01 11:00,Mid Exit,1649.19,0.0606,99.97485,-0.07,-0.07,1.25,1.25,-0.91,-0.91,1.18,0.00
47,Entry short,2023-09-01 01:00,Short Entry,1649.75,0.0606,99.97485,-0.07,-0.07,1.25,1.25,-0.91,-0.91,1.18,0.00
48,Exit short,2023-09-12 09:00,Mid Exit,1556.65,0.0649,99.85514,-1.27,-1.27,0.6,0.60,-1.34,-1.34,-0.09,0.00
48,Entry short,2023-09-12 04:00,Short Entry,1538.6,0.0649,99.85514,-1.27,-1.27,0.6,0.60,-1.34,-1.34,-0.09,0.00
49,Exit short,2023-10-03 09:00,Mid Exit,1661.48,0.0603,99.947853,-0.34,-0.34,1.46,1.46,-1.04,-1.04,-0.43,0.00
49,Entry short,2023-10-03 03:00,Short Entry,1657.51,0.0603,99.947853,-0.34,-0.34,1.46,1.46,-1.04,-1.04,-0.43,0.00
50,Exit long,2023-10-24 17:00,Mid Exit,1818.55,0.0559,99.846903,1.71,1.71,3.52,3.52,-2.23,-2.23,1.28,0.00
50,Entry long,2023-10-24 07:00,Long Entry,1786.17,0.0559,99.846903,1.71,1.71,3.52,3.52,-2.23,-2.23,1.28,0.00
51,Exit short,2023-10-25 06:00,Mid Exit,1786.5,0.0563,99.980355,-0.7,-0.70,1.11,1.11,-0.92,-0.92,0.58,0.00
51,Entry short,2023-10-25 02:00,Short Entry,1775.85,0.0563,99.980355,-0.7,-0.70,1.11,1.11,-0.92,-0.92,0.58,0.00
52,Exit short,2023-10-27 05:00,Mid Exit,1798,0.0558,99.837918,-0.59,-0.59,1.73,1.74,-0.71,-0.71,-0.01,0.00
52,Entry short,2023-10-26 23:00,Short Entry,1789.21,0.0558,99.837918,-0.59,-0.59,1.73,1.74,-0.71,-0.71,-0.01,0.00
53,Exit long,2023-11-10 16:00,Mid Exit,2104.64,0.049,99.93795,3.09,3.09,4.85,4.85,-3.31,-3.31,3.07,0.00
53,Entry long,2023-11-10 00:00,Long Entry,2039.55,0.049,99.93795,3.09,3.09,4.85,4.85,-3.31,-3.31,3.07,0.00
54,Exit short,2023-11-15 09:00,Mid Exit,1982.62,0.0508,99.897184,-0.92,-0.92,0.43,0.43,-1.54,-1.54,2.15,0.00
54,Entry short,2023-11-15 03:00,Short Entry,1966.48,0.0508,99.897184,-0.92,-0.92,0.43,0.43,-1.54,-1.54,2.15,0.00
55,Exit short,2023-11-17 10:00,Mid Exit,1986.62,0.05,99.8705,0.44,0.44,2.9,2.90,-0.2,-0.20,2.59,0.00
55,Entry short,2023-11-17 02:00,Short Entry,1997.41,0.05,99.8705,0.44,0.44,2.9,2.90,-0.2,-0.20,2.59,0.00
56,Exit short,2023-11-22 13:00,Mid Exit,1986.75,0.0514,99.855808,-2.36,-2.37,0.67,0.67,-2.41,-2.41,0.23,0.00
56,Entry short,2023-11-22 07:00,Short Entry,1942.72,0.0514,99.855808,-2.36,-2.37,0.67,0.67,-2.41,-2.41,0.23,0.00
57,Exit long,2023-12-06 13:00,Mid Exit,2280.07,0.0436,99.975236,-0.66,-0.66,0.91,0.91,-1.83,-1.83,-0.43,0.00
57,Entry long,2023-12-06 02:00,Long Entry,2293.01,0.0436,99.975236,-0.66,-0.66,0.91,0.91,-1.83,-1.83,-0.43,0.00
58,Exit long,2023-12-08 16:00,Mid Exit,2355,0.0425,99.778525,0.21,0.21,2.06,2.07,-1.01,-1.02,-0.23,0.00
58,Entry long,2023-12-08 01:00,Long Entry,2347.73,0.0425,99.778525,0.21,0.21,2.06,2.07,-1.01,-1.02,-0.23,0.00
59,Exit short,2023-12-11 17:00,Mid Exit,2244.46,0.0448,99.910272,-0.74,-0.74,0.18,0.18,-1.25,-1.25,-0.97,0.00
59,Entry short,2023-12-11 11:00,Short Entry,2230.14,0.0448,99.910272,-0.74,-0.74,0.18,0.18,-1.25,-1.25,-0.97,0.00
60,Exit short,2023-12-18 17:00,Mid Exit,2173.4,0.0461,99.913452,-0.38,-0.38,0.27,0.27,-0.9,-0.90,-1.35,0.00
60,Entry short,2023-12-18 11:00,Short Entry,2167.32,0.0461,99.913452,-0.38,-0.38,0.27,0.27,-0.9,-0.90,-1.35,0.00
61,Exit short,2023-12-20 08:00,Mid Exit,2179.01,0.0466,99.823724,-1.82,-1.82,0.28,0.28,-2.19,-2.19,-3.17,0.00
61,Entry short,2023-12-20 02:00,Short Entry,2142.14,0.0466,99.823724,-1.82,-1.82,0.28,0.28,-2.19,-2.19,-3.17,0.00
62,Exit long,2023-12-28 07:00,Mid Exit,2366.52,0.0426,99.897426,0.82,0.82,1.4,1.40,-0.45,-0.45,-2.35,0.00
62,Entry long,2023-12-28 00:00,Long Entry,2345.01,0.0426,99.897426,0.82,0.82,1.4,1.40,-0.45,-0.45,-2.35,0.00
63,Exit short,2023-12-30 12:00,Mid Exit,2300.17,0.0434,99.86123,-0.07,-0.07,1.96,1.96,-0.95,-0.95,-2.42,0.00
63,Entry short,2023-12-30 02:00,Short Entry,2300.95,0.0434,99.86123,-0.07,-0.07,1.96,1.96,-0.95,-0.95,-2.42,0.00
64,Exit short,2024-01-04 05:00,Mid Exit,2218.9,0.0444,99.879576,1.26,1.26,2.64,2.65,-0.08,-0.08,-1.15,0.00
64,Entry short,2024-01-03 21:00,Short Entry,2249.54,0.0444,99.879576,1.26,1.26,2.64,2.65,-0.08,-0.08,-1.15,0.00
65,Exit long,2024-01-10 15:00,Mid Exit,2381.19,0.0416,99.817952,-0.86,-0.86,0.08,0.08,-2.35,-2.36,-2.01,0.00
65,Entry long,2024-01-10 09:00,Long Entry,2399.47,0.0416,99.817952,-0.86,-0.86,0.08,0.08,-2.35,-2.36,-2.01,0.00
66,Exit long,2024-01-11 15:00,Mid Exit,2577.64,0.0403,99.865818,3.91,3.91,6.7,6.71,-2.84,-2.84,1.9,0.00
66,Entry long,2024-01-11 04:00,Long Entry,2478.06,0.0403,99.865818,3.91,3.91,6.7,6.71,-2.84,-2.84,1.9,0.00
67,Exit short,2024-01-12 07:00,Mid Exit,2616.21,0.0385,99.887865,-0.94,-0.94,0.02,0.02,-1.11,-1.11,0.96,0.00
67,Entry short,2024-01-12 05:00,Short Entry,2594.49,0.0385,99.887865,-0.94,-0.94,0.02,0.02,-1.11,-1.11,0.96,0.00
68,Exit short,2024-01-13 12:00,Mid Exit,2548.98,0.0386,99.81188,1.32,1.32,4.87,4.88,-0.61,-0.61,2.28,0.00
68,Entry short,2024-01-13 04:00,Short Entry,2585.8,0.0386,99.81188,1.32,1.32,4.87,4.88,-0.61,-0.61,2.28,0.00
69,Exit short,2024-01-19 09:00,Mid Exit,2468.3,0.0409,99.769824,-1.28,-1.29,0.41,0.41,-1.51,-1.51,1,0.00
69,Entry short,2024-01-19 04:00,Short Entry,2439.36,0.0409,99.769824,-1.28,-1.29,0.41,0.41,-1.51,-1.51,1,0.00
70,Exit short,2024-01-24 00:00,Mid Exit,2219.06,0.0451,99.935737,-0.24,-0.24,2.13,2.13,-1.14,-1.14,0.75,0.00
70,Entry short,2024-01-23 18:00,Short Entry,2215.87,0.0451,99.935737,-0.24,-0.24,2.13,2.13,-1.14,-1.14,0.75,0.00
71,Exit short,2024-02-01 16:00,Mid Exit,2270.92,0.0445,99.86779,-1.29,-1.29,0.07,0.07,-1.5,-1.50,-0.53,0.00
71,Entry short,2024-02-01 10:00,Short Entry,2244.22,0.0445,99.86779,-1.29,-1.29,0.07,0.07,-1.5,-1.50,-0.53,0.00
72,Exit long,2024-02-13 13:00,Mid Exit,2648.05,0.0383,99.9247,1.39,1.40,3.01,3.01,-0.26,-0.26,0.86,0.00
72,Entry long,2024-02-13 02:00,Long Entry,2609,0.0383,99.9247,1.39,1.40,3.01,3.01,-0.26,-0.26,0.86,0.00
73,Exit long,2024-02-15 01:00,Mid Exit,2740.34,0.0363,99.736065,-0.36,-0.36,0.95,0.95,-0.69,-0.69,0.5,0.00
73,Entry long,2024-02-14 18:00,Long Entry,2747.55,0.0363,99.736065,-0.36,-0.36,0.95,0.95,-0.69,-0.69,0.5,0.00
74,Exit short,2024-02-22 00:00,Mid Exit,2915.61,0.0344,99.803344,-0.59,-0.59,1.1,1.10,-1.03,-1.03,-0.09,0.00
74,Entry short,2024-02-21 18:00,Short Entry,2901.26,0.0344,99.803344,-0.59,-0.59,1.1,1.10,-1.03,-1.03,-0.09,0.00
75,Exit long,2024-02-29 21:00,Mid Exit,3468.91,0.0289,99.899786,0.25,0.25,2.1,2.10,-1.92,-1.92,0.16,0.00
75,Entry long,2024-02-29 09:00,Long Entry,3456.74,0.0289,99.899786,0.25,0.25,2.1,2.10,-1.92,-1.92,0.16,0.00
76,Exit short,2024-03-01 09:00,Mid Exit,3383.01,0.0295,99.974025,0.08,0.08,2.56,2.56,-0.96,-0.96,0.23,0.00
76,Entry short,2024-03-01 02:00,Short Entry,3388.95,0.0295,99.974025,0.08,0.08,2.56,2.56,-0.96,-0.96,0.23,0.00
77,Exit short,2024-03-06 10:00,Mid Exit,3521.58,0.0276,99.792216,2.5,2.50,11.28,11.30,-0.49,-0.49,2.73,0.00
77,Entry short,2024-03-06 03:00,Short Entry,3615.66,0.0276,99.792216,2.5,2.50,11.28,11.30,-0.49,-0.49,2.73,0.00
78,Exit long,2024-03-06 23:00,Mid Exit,3784.79,0.0273,99.724989,3.5,3.51,6.87,6.89,-0.11,-0.11,6.23,0.01
78,Entry long,2024-03-06 13:00,Long Entry,3652.93,0.0273,99.724989,3.5,3.51,6.87,6.89,-0.11,-0.11,6.23,0.01
79,Exit long,2024-03-12 00:00,Mid Exit,4020.69,0.0249,99.932913,0.08,0.08,1.42,1.42,-0.58,-0.58,6.31,0.01
79,Entry long,2024-03-11 16:00,Long Entry,4013.37,0.0249,99.932913,0.08,0.08,1.42,1.42,-0.58,-0.58,6.31,0.01
80,Exit short,2024-03-15 06:00,Mid Exit,3869.58,0.0259,99.673819,-0.65,-0.65,3.15,3.15,-1.4,-1.40,5.66,0.01
80,Entry short,2024-03-15 00:00,Short Entry,3848.41,0.0259,99.673819,-0.65,-0.65,3.15,3.15,-1.4,-1.40,5.66,0.01
81,Exit short,2024-03-15 20:00,Mid Exit,3692.97,0.0268,99.825712,0.75,0.76,4.21,4.21,-1.64,-1.64,6.42,0.01
81,Entry short,2024-03-15 12:00,Short Entry,3724.84,0.0268,99.825712,0.75,0.76,4.21,4.21,-1.64,-1.64,6.42,0.01
82,Exit short,2024-03-17 12:00,Mid Exit,3574.38,0.0281,99.997784,-0.54,-0.54,2.47,2.47,-0.81,-0.81,5.87,0.01
82,Entry short,2024-03-17 06:00,Short Entry,3558.64,0.0281,99.997784,-0.54,-0.54,2.47,2.47,-0.81,-0.81,5.87,0.01
83,Exit short,2024-03-19 06:00,Mid Exit,3529.35,0.0287,99.886906,-1.51,-1.51,0.34,0.34,-2.05,-2.05,4.37,0.00
83,Entry short,2024-03-19 03:00,Short Entry,3480.38,0.0287,99.886906,-1.51,-1.51,0.34,0.34,-2.05,-2.05,4.37,0.00
84,Exit short,2024-03-19 23:00,Mid Exit,3260.99,0.0292,99.913056,4.59,4.60,6.28,6.28,-0.31,-0.31,8.96,0.01
84,Entry short,2024-03-19 12:00,Short Entry,3421.68,0.0292,99.913056,4.59,4.60,6.28,6.28,-0.31,-0.31,8.96,0.01
85,Exit short,2024-03-20 16:00,Mid Exit,3219.72,0.0311,99.953534,-0.28,-0.28,4.89,4.89,-1.68,-1.68,8.68,0.01
85,Entry short,2024-03-20 07:00,Short Entry,3213.94,0.0311,99.953534,-0.28,-0.28,4.89,4.89,-1.68,-1.68,8.68,0.01
86,Exit long,2024-03-21 13:00,Mid Exit,3497.31,0.0303,99.824865,6.04,6.05,8.13,8.14,-4.67,-4.68,14.72,0.01
86,Entry long,2024-03-20 20:00,Long Entry,3294.55,0.0303,99.824865,6.04,6.05,8.13,8.14,-4.67,-4.68,14.72,0.01
87,Exit short,2024-03-22 06:00,Mid Exit,3506.76,0.0292,99.986932,-2.51,-2.51,0.24,0.24,-2.58,-2.58,12.21,0.01
87,Entry short,2024-03-22 03:00,Short Entry,3424.21,0.0292,99.986932,-2.51,-2.51,0.24,0.24,-2.58,-2.58,12.21,0.01
88,Exit short,2024-03-23 04:00,Mid Exit,3343.62,0.0293,99.846782,1.78,1.78,3.61,3.62,-0.67,-0.67,13.99,0.01
88,Entry short,2024-03-22 20:00,Short Entry,3407.74,0.0293,99.846782,1.78,1.78,3.61,3.62,-0.67,-0.67,13.99,0.01
89,Exit long,2024-03-26 08:00,Mid Exit,3592.94,0.0277,99.968192,-0.54,-0.54,1.51,1.50,-1.18,-1.18,13.45,0.01
89,Entry long,2024-03-26 01:00,Long Entry,3608.96,0.0277,99.968192,-0.54,-0.54,1.51,1.50,-1.18,-1.18,13.45,0.01
90,Exit short,2024-03-28 08:00,Mid Exit,3504.99,0.0288,99.769824,-1.27,-1.28,0,0.00,-1.81,-1.81,12.17,0.01
90,Entry short,2024-03-28 03:00,Short Entry,3464.23,0.0288,99.769824,-1.27,-1.28,0,0.00,-1.81,-1.81,12.17,0.01
91,Exit short,2024-04-01 20:00,Mid Exit,3540.6,0.0284,99.73512,-0.92,-0.92,0.19,0.19,-1.51,-1.51,11.26,0.01
91,Entry short,2024-04-01 14:00,Short Entry,3511.8,0.0284,99.73512,-0.92,-0.92,0.19,0.19,-1.51,-1.51,11.26,0.01
92,Exit short,2024-04-02 06:00,Mid Exit,3495.4,0.0289,99.667141,-1.45,-1.45,0.09,0.09,-1.75,-1.76,9.81,0.01
92,Entry short,2024-04-02 03:00,Short Entry,3448.69,0.0289,99.667141,-1.45,-1.45,0.09,0.09,-1.75,-1.76,9.81,0.01
93,Exit short,2024-04-03 04:00,Mid Exit,3279.19,0.0296,99.685992,2.52,2.53,4.56,4.57,-0.74,-0.74,12.33,0.01
